Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
138,295,16,1,1017,-5,65535,0,0,0
139,296,15,2,1017,-4,65535,0,0,0
140,297,14,2,1017,-3,65535,0,0,0
141,297,13,2,1018,-3,65535,0,0,0
142,296,13,2,1019,-4,65535,0,0,0
143,297,14,2,1020,-3,65535,0,0,0
144,296,14,2,1020,-4,65535,0,0,0
145,296,14,3,1020,-4,65535,0,0,0
146,296,15,3,1020,-4,65535,0,0,0
147,296,15,3,1020,-4,65535,0,0,0
148,296,16,3,1020,-4,65535,0,0,0
149,296,17,4,1020,-4,65535,0,0,0
150,296,17,4,1019,-4,65535,0,0,0
151,297,18,3,1019,-3,65535,0,0,0
152,296,17,2,1020,-4,65535,0,0,0
153,296,16,2,1021,-4,65535,0,0,0
154,296,16,2,1022,-4,65535,0,0,0
155,296,16,2,1022,-4,65535,0,0,0
156,296,16,2,1022,-4,65535,0,0,0
157,296,17,2,1022,-4,65535,0,0,0
158,296,16,3,1021,-4,65535,0,0,0
159,297,15,3,1021,-3,65535,0,0,0
160,297,15,4,1021,-3,65535,0,0,0
161,296,15,4,1020,-4,65535,0,0,0
162,296,15,4,1020,-4,65535,0,0,0
163,297,15,4,1020,-3,65535,0,0,0
164,296,15,3,1019,-4,65535,0,0,0
165,296,15,3,1019,-4,65535,0,0,0
166,296,15,4,1019,-4,65535,0,0,0
167,297,14,4,1019,-3,65535,0,0,0
168,297,14,4,1019,-3,65535,0,0,0
169,296,14,4,1021,-4,65535,0,0,0
170,296,14,5,1022,-4,65535,0,0,0
171,297,14,5,1023,-3,65535,0,0,0
172,297,14,5,1024,-3,65535,0,0,0
173,296,13,4,1024,-4,65535,0,0,0
174,296,13,4,1023,-4,65535,0,0,0
175,296,14,4,1022,-4,65535,0,0,0
176,296,15,5,1022,-4,65535,0,0,0
177,296,15,5,1021,-4,65535,0,0,0
178,296,15,6,1021,-4,65535,0,0,0
179,296,15,6,1021,-4,65535,0,0,0
180,296,15,6,1020,-4,65535,0,0,0
181,298,14,6,1020,-2,65535,0,0,0
182,300,14,6,1020,0,65535,0,0,0
183,300,15,6,1020,0,65535,0,0,0
184,300,15,6,1020,0,65535,0,0,0
185,298,15,5,1021,-2,65535,0,0,0
186,295,15,5,1021,-5,65535,0,0,0
187,293,15,5,1020,-7,65535,0,0,0
188,297,15,4,1019,-3,65535,0,0,0
189,296,15,4,1019,-4,65535,0,0,0
190,297,16,4,1019,-3,65535,0,0,0
191,297,16,4,1019,-3,65535,0,0,0
192,297,15,3,1019,-3,65535,0,0,0
193,296,14,2,1019,-4,65535,0,0,0
194,296,13,2,1019,-4,65535,0,0,0
195,296,12,2,1019,-4,65535,0,0,0
196,296,12,3,1020,-4,65535,0,0,0
197,296,12,3,1020,-4,65535,0,0,0
198,296,13,3,1020,-4,65535,0,0,0
199,296,13,3,1019,-4,65535,0,0,0
200,296,13,3,1020,-4,65535,0,0,0
201,296,14,3,1021,-4,65535,0,0,0
202,296,15,3,1021,-4,65535,0,0,0
203,297,16,3,1019,-3,65535,0,0,0
204,297,16,3,1017,-3,65535,0,0,0
205,296,16,3,1017,-4,65535,0,0,0
206,296,16,3,1018,-4,65535,0,0,0
207,296,16,3,1019,-4,65535,0,0,0
208,296,16,3,1019,-4,65535,0,0,0
209,296,15,3,1019,-4,65535,0,0,0
210,296,15,3,1019,-4,65535,0,0,0
211,296,15,3,1019,-4,65535,0,0,0
212,296,15,3,1019,-4,65535,0,0,0
213,296,15,3,1020,-4,65535,0,0,0
214,296,14,3,1020,-4,65535,0,0,0
215,297,13,3,1020,-3,65535,0,0,0
216,297,13,3,1020,-3,65535,0,0,0
217,296,13,3,1019,-4,65535,0,0,0
218,296,13,4,1020,-4,65535,0,0,0
219,297,14,4,1020,-3,65535,0,0,0
220,296,15,4,1019,-4,65535,0,0,0
221,296,15,4,1018,-4,65535,0,0,0
222,297,14,4,1017,-3,65535,0,0,0
223,296,14,4,1018,-4,65535,0,0,0
224,297,14,4,1020,-3,65535,0,0,0
225,299,14,4,1022,-1,65535,0,0,0
226,300,14,3,1022,0,65535,0,0,0
227,300,15,2,1021,0,65535,0,0,0
228,299,15,2,1020,-1,65535,0,0,0
229,296,15,2,1020,-4,65535,0,0,0
230,297,15,2,1020,-3,65535,0,0,0
231,297,15,2,1020,-3,65535,0,0,0
232,297,15,2,1020,-3,65535,0,0,0
233,296,15,2,1020,-4,65535,0,0,0
234,296,15,2,1020,-4,65535,0,0,0
235,296,16,3,1020,-4,65535,0,0,0
236,296,16,4,1020,-4,65535,0,0,0
237,296,16,5,1020,-4,65535,0,0,0
238,296,16,5,1020,-4,65535,0,0,0
239,296,16,5,1021,-4,65535,0,0,0
240,296,16,4,1022,-4,65535,0,0,0
241,295,15,4,1022,-5,65535,0,0,0
242,296,15,4,1022,-4,65535,0,0,0
243,296,14,4,1022,-4,65535,0,0,0
244,296,14,4,1022,-4,65535,0,0,0
245,295,14,4,1022,-5,65535,0,0,0
246,296,14,4,1021,-4,65535,0,0,0
247,296,15,4,1020,-4,65535,0,0,0
248,296,16,4,1019,-4,65535,0,0,0
249,295,16,4,1019,-5,65535,0,0,0
250,296,15,4,1019,-4,65535,0,0,0
251,296,15,4,1019,-4,65535,0,0,0
252,296,15,4,1020,-4,65535,0,0,0
253,295,15,4,1020,-5,65535,0,0,0
254,296,16,4,1019,-4,65535,0,0,0
255,296,15,4,1019,-4,65535,0,0,0
256,296,15,3,1019,-4,65535,0,0,0
257,299,14,2,1019,-1,65535,0,0,0
258,299,14,1,1019,-1,65535,0,0,0
259,299,14,1,1019,-1,65535,0,0,0
260,299,14,1,1019,-1,65535,0,0,0
261,295,14,1,1020,-5,65535,0,0,0
262,296,14,1,1019,-4,65535,0,0,0
263,296,14,1,1019,-4,65535,0,0,0
264,296,14,1,1019,-4,65535,0,0,0
265,295,14,1,1019,-5,65535,0,0,0
266,296,14,0,1018,-4,65535,0,0,0
267,296,14,0,1018,-4,65535,0,0,0
268,296,14,0,1018,-4,65535,0,0,0
269,295,15,0,1018,-5,65535,0,0,0
270,296,15,1,1019,-4,65535,0,0,0
271,296,15,1,1020,-4,65535,0,0,0
272,296,14,1,1021,-4,65535,0,0,0
273,299,14,2,1020,-1,65535,0,0,0
274,299,14,3,1021,-1,65535,0,0,0
275,299,14,4,1021,-1,65535,0,0,0
276,298,14,5,1021,-2,65535,0,0,0
277,295,13,5,1021,-5,65535,0,0,0
278,296,13,5,1021,-4,65535,0,0,0
279,296,14,5,1021,-4,65535,0,0,0
280,297,15,4,1021,-3,65535,0,0,0
281,299,15,4,1021,-1,65535,0,0,0
282,299,15,4,1021,-1,65535,0,0,0
283,299,16,3,1021,-1,65535,0,0,0
284,298,16,3,1021,-2,65535,0,0,0
285,295,16,3,1021,-5,65535,0,0,0
286,296,16,3,1020,-4,65535,0,0,0
287,296,16,3,1021,-4,65535,0,0,0
288,295,15,3,1021,-5,65535,0,0,0
289,295,14,3,1020,-5,65535,0,0,0
290,296,14,3,1019,-4,65535,0,0,0
291,296,14,3,1019,-4,65535,0,0,0
292,296,14,3,1019,-4,65535,0,0,0
293,296,14,3,1019,-4,65535,0,0,0
294,296,13,3,1019,-4,65535,0,0,0
295,296,12,3,1018,-4,65535,0,0,0
296,296,12,3,1018,-4,65535,0,0,0
297,295,12,3,1019,-5,65535,0,0,0
298,296,13,3,1019,-4,65535,0,0,0
299,296,13,4,1018,-4,65535,0,0,0
300,296,17,4,1018,-4,65535,0,0,0
301,296,16,4,1020,-4,65535,0,0,0
302,296,15,3,1021,-4,65535,0,0,0
303,296,15,3,1021,-4,65535,0,0,0
304,296,16,3,1020,-4,65535,0,0,0
305,296,16,3,1019,-4,65535,0,0,0
306,296,16,3,1019,-4,65535,0,0,0
307,296,16,3,1019,-4,65535,0,0,0
308,297,16,4,1019,-3,65535,0,0,0
309,299,16,5,1020,-1,65535,0,0,0
310,299,16,5,1020,-1,65535,0,0,0
311,299,16,5,1019,-1,65535,0,0,0
312,297,16,4,1019,-3,65535,0,0,0
313,295,16,4,1019,-5,65535,0,0,0
314,296,16,4,1018,-4,65535,0,0,0
315,296,15,4,1018,-4,65535,0,0,0
316,295,14,4,1018,-5,65535,0,0,0
317,296,14,3,1018,-4,65535,0,0,0
318,296,14,2,1019,-4,65535,0,0,0
319,296,14,2,1019,-4,65535,0,0,0
320,297,14,2,1020,-3,65535,0,0,0
321,300,14,2,1021,0,65535,0,0,0
322,299,14,2,1021,-1,65535,0,0,0
323,299,13,2,1021,-1,65535,0,0,0
324,297,13,1,1021,-3,65535,0,0,0
325,295,13,1,1020,-5,65535,0,0,0
326,296,14,1,1020,-4,65535,0,0,0
327,296,14,1,1021,-4,65535,0,0,0
328,297,15,2,1021,-3,65535,0,0,0
329,299,15,2,1020,-1,65535,0,0,0
330,299,16,2,1020,-1,65535,0,0,0
331,299,16,3,1019,-1,65535,0,0,0
332,299,16,3,1018,-1,65535,0,0,0
333,299,15,3,1017,-1,65535,0,0,0
334,299,14,3,1016,-1,65535,0,0,0
335,299,14,3,1016,-1,65535,0,0,0
336,296,14,3,1016,-4,65535,0,0,0
337,295,14,3,1016,-5,65535,0,0,0
338,296,15,3,1016,-4,65535,0,0,0
339,297,15,2,1017,-3,65535,0,0,0
340,296,15,1,1018,-4,65535,0,0,0
341,296,16,1,1018,-4,65535,0,0,0
342,297,16,1,1019,-3,65535,0,0,0
343,296,16,1,1019,-4,65535,0,0,0
344,296,17,1,1019,-4,65535,0,0,0
345,296,17,2,1018,-4,65535,0,0,0
346,296,18,3,1017,-4,65535,0,0,0
347,297,18,3,1017,-3,65535,0,0,0
348,296,18,3,1017,-4,65535,0,0,0
349,296,18,3,1018,-4,65535,0,0,0
350,296,18,3,1018,-4,65535,0,0,0
351,296,17,3,1018,-4,65535,0,0,0
352,296,17,3,1018,-4,65535,0,0,0
353,296,16,3,1019,-4,65535,0,0,0
354,296,16,3,1020,-4,65535,0,0,0
355,296,17,3,1020,-4,65535,0,0,0
356,296,17,3,1020,-4,65535,0,0,0
357,296,17,3,1020,-4,65535,0,0,0
358,296,17,3,1019,-4,65535,0,0,0
359,296,17,4,1019,-4,65535,0,0,0
360,296,16,4,1020,-4,65535,0,0,0
361,296,15,3,1020,-4,65535,0,0,0
362,296,14,3,1020,-4,65535,0,0,0
363,296,14,3,1019,-4,65535,0,0,0
364,295,15,3,1018,-5,65535,0,0,0
365,296,15,4,1018,-4,65535,0,0,0
366,297,15,5,1018,-3,65535,0,0,0
367,297,15,5,1018,-3,65535,0,0,0
368,296,15,5,1017,-4,65535,0,0,0
369,297,16,4,1016,-3,65535,0,0,0
370,297,16,4,1016,-3,65535,0,0,0
371,296,16,4,1017,-4,65535,0,0,0
372,296,16,4,1018,-4,65535,0,0,0
373,296,16,3,1017,-4,65535,0,0,0
374,296,16,3,1017,-4,65535,0,0,0
375,296,16,4,1017,-4,65535,0,0,0
376,296,16,6,1016,-4,65535,0,0,0
377,296,15,6,1016,-4,65535,0,0,0
378,297,15,6,1016,-3,65535,0,0,0
379,296,15,5,1015,-4,65535,0,0,0
380,296,15,4,1016,-4,65535,0,0,0
381,297,15,3,1017,-3,65535,0,0,0
382,296,15,2,1017,-4,65535,0,0,0
383,296,15,1,1018,-4,65535,0,0,0
384,296,15,1,1019,-4,65535,0,0,0
385,297,15,1,1019,-3,65535,0,0,0
386,296,15,2,1018,-4,65535,0,0,0
387,297,15,2,1018,-3,65535,0,0,0
388,296,14,2,1018,-4,65535,0,0,0
389,296,14,2,1017,-4,65535,0,0,0
390,296,14,2,1018,-4,65535,0,0,0
391,296,14,2,1018,-4,65535,0,0,0
392,296,15,2,1018,-4,65535,0,0,0
393,297,15,1,1018,-3,65535,0,0,0
394,297,16,1,1019,-3,65535,0,0,0
395,297,16,2,1018,-3,65535,0,0,0
396,296,17,2,1018,-4,65535,0,0,0
397,296,17,2,1017,-4,65535,0,0,0
398,296,16,1,1018,-4,65535,0,0,0
399,296,16,1,1020,-4,65535,0,0,0
400,296,15,1,1020,-4,65535,0,0,0
401,297,15,1,1019,-3,65535,0,0,0
402,297,15,1,1018,-3,65535,0,0,0
403,297,15,1,1018,-3,65535,0,0,0
404,300,15,2,1018,0,65535,0,0,0
405,299,16,2,1018,-1,65535,0,0,0
406,300,16,3,1019,0,65535,0,0,0
